year,month,mean_obs,min_obs,max_obs,mean_baseline,min_baseline,max_baseline,mean_anomaly,min_anomaly,max_anomaly
2021,1,32.72978542019552,27.673525937635315,37.236191667647404,34.03650521291812,28.47507316989776,38.77458067324912,-1.3067197927226033,-0.8015472322624468,-1.538389005601715
2021,2,34.36168351316979,28.96099973769837,39.093449425890526,35.778345900404766,29.870258156972394,40.73899354408831,-1.4166623872349788,-0.9092584192740247,-1.6455441181977832
2021,3,35.88866650334545,29.996148537929795,40.95365428569107,35.37521718024569,29.558038771215067,40.26337030713005,0.5134493230997563,0.438109766714728,0.6902839785610198
2021,4,31.63328490156298,27.718588412561235,35.670960334077336,32.23458145812248,27.921889211529848,36.45168749216517,-0.6012965565594968,-0.20330079896861264,-0.780727158087835
2021,5,30.68283866695351,27.317386480576452,33.81254015141495,30.6357244743182,26.563389221605824,34.21571593235926,0.04711419263531269,0.7539972589706281,-0.4031757809443093
2021,6,29.83533745743861,26.06356356022841,32.96702251691529,29.93347811353123,25.838916270289094,33.560516590509984,-0.09814065609262101,0.22464728993931615,-0.593494073594691
2021,7,30.633110732832478,26.877513390334435,33.976650533947385,30.421601281303698,26.04619404680367,34.34409202144258,0.2115094515287801,0.8313193435307653,-0.3674414874951921
2021,8,33.585225224508875,28.125303397594404,38.47176925658225,32.44296177756934,27.333354751903006,37.06680605155526,1.1422634469395376,0.7919486456913987,1.4049632050269878
2021,9,35.14074119036295,29.574018401832124,40.13912328015918,35.49226765574752,29.355292057916838,40.866605973645065,-0.3515264653845662,0.21872634391528578,-0.7274826934858822
2021,10,38.12386504074334,31.6453726638924,43.166842729761015,36.90216571221804,30.42065648680541,42.43166183696907,1.2216993285252968,1.2247161770869894,0.735180892791945
2021,11,37.7928481998149,31.39344988580375,42.829774097325505,33.669954607851786,28.23094691097381,38.80066969192979,4.122893591963113,3.162502974829941,4.029104405395714
2021,12,32.057329937445246,27.619316859983616,36.03003791823997,32.606714366743155,27.289354281866213,37.26322245453709,-0.5493844292979091,0.3299625781174029,-1.2331845362971237
2022,1,34.48919047940334,28.437333878400217,39.472404863470004,34.03650521291812,28.47507316989776,38.77458067324912,0.45268526648521856,-0.037739291497544514,0.697824190220885
2022,2,33.382502126173954,28.456223300796687,37.525645292580165,35.778345900404766,29.870258156972394,40.73899354408831,-2.395843774230812,-1.4140348561757072,-3.213348251508144
2022,3,35.28835249707062,29.36069107041295,40.07956709451851,35.37521718024569,29.558038771215067,40.26337030713005,-0.08686468317507234,-0.1973477008021156,-0.18380321261154364
2022,4,33.83643629331138,28.766677495298634,38.35110826818429,32.23458145812248,27.921889211529848,36.45168749216517,1.6018548351889024,0.8447882837687857,1.8994207760191202
2022,5,31.284216369469032,27.084807061622783,34.7994635171693,30.6357244743182,26.563389221605824,34.21571593235926,0.6484918951508334,0.5214178400169587,0.5837475848100411
2022,6,30.332343908564233,26.28852306903521,33.86459400621218,29.93347811353123,25.838916270289094,33.560516590509984,0.3988657950330037,0.4496067987461174,0.3040774157021957
2022,7,30.308787800173445,26.001789144143807,33.95428100216572,30.421601281303698,26.04619404680367,34.34409202144258,-0.11281348113025302,-0.04440490265986341,-0.3898110192768556
2022,8,32.4486633367205,27.63152232931608,37.05319512308455,32.44296177756934,27.333354751903006,37.06680605155526,0.005701559151162883,0.298167577413075,-0.01361092847071177
2022,9,34.47295590874785,29.200581955928065,39.36132962734597,35.49226765574752,29.355292057916838,40.866605973645065,-1.0193117469996693,-0.15471010198877266,-1.5052763462990981
2022,10,36.964979256520984,31.747521220095244,41.18367381446557,36.90216571221804,30.42065648680541,42.43166183696907,0.06281354430294073,1.3268647332898347,-1.247988022503499
2022,11,33.22472565155675,28.643034789487167,37.744873315208714,33.669954607851786,28.23094691097381,38.80066969192979,-0.4452289562950327,0.4120878785133577,-1.0557963767210765
2022,12,32.23908165082292,27.14081089080278,37.196588806654844,32.606714366743155,27.289354281866213,37.26322245453709,-0.3676327159202373,-0.14854339106343417,-0.06663364788224868
2023,1,34.262665172791145,28.09682269655827,39.36543121844979,34.03650521291812,28.47507316989776,38.77458067324912,0.22615995987302284,-0.3782504733394916,0.5908505452006736
2023,2,35.8602995744325,30.541926854833285,40.07114362150048,35.778345900404766,29.870258156972394,40.73899354408831,0.08195367402773712,0.6716686978608912,-0.6678499225878269
2023,3,35.33532970889712,29.399084090232954,39.99082239724242,35.37521718024569,29.558038771215067,40.26337030713005,-0.03988747134857107,-0.15895468098211296,-0.2725479098876349
2023,4,30.315514199495443,27.04725987388602,33.49068230375973,32.23458145812248,27.921889211529848,36.45168749216517,-1.9190672586270345,-0.8746293376438281,-2.961005188405437
2023,5,29.71065075189468,25.527770073126145,33.48859191841611,30.6357244743182,26.563389221605824,34.21571593235926,-0.9250737224235195,-1.0356191484796788,-0.727124013943147
2023,6,29.760579129286604,25.782782214937686,32.99864251415159,29.93347811353123,25.838916270289094,33.560516590509984,-0.17289898424462535,-0.05613405535140714,-0.5618740763583929
2023,7,29.828094992769383,25.360635281254314,33.46982195462212,30.421601281303698,26.04619404680367,34.34409202144258,-0.5935062885343143,-0.6855587655493558,-0.8742700668204577
2023,8,32.33626089903932,27.224312472403895,36.84935345371482,32.44296177756934,27.333354751903006,37.06680605155526,-0.1067008785300203,-0.1090422794991106,-0.2174525978404418
2023,9,34.43543994159609,28.907990812509496,38.91046234551027,35.49226765574752,29.355292057916838,40.866605973645065,-1.0568277141514315,-0.44730124540734195,-1.9561436281347966
