date,mean_lst
2002-01-02,31.1788483934642
2002-01-03,33.011913526263875
2002-01-04,24.521303802758066
2002-01-05,27.903808436155614
2002-01-06,26.939301370404074
2002-01-07,27.459477395004857
2002-01-08,21.467857142857174
2002-01-09,32.55639270425776
2002-01-10,33.353906595618774
2002-01-11,32.35649739994415
2002-01-12,28.46175252642137
2002-01-14,25.851691444769436
2002-01-16,26.126551904534885
2002-01-18,28.07296313976878
2002-01-19,25.70419321870353
2002-01-20,28.29777349397594
2002-01-21,27.532587632132923
2002-01-22,28.16694156791605
2002-01-23,27.1163878113946
2002-01-24,27.117308843784276
2002-01-25,27.642698400060315
2002-01-26,26.60122333182027
2002-01-27,25.932787812041138
2002-01-28,30.584405037609436
2002-01-29,28.035874815179877
2002-01-30,19.781111111111144
2002-01-31,30.792860702719967
2002-02-01,34.19046009456493
2002-02-03,34.22516807241061
2002-02-04,32.669599268265266
2002-02-05,36.75814234727348
2002-02-06,33.69238241766418
2002-02-07,30.28001690970068
2002-02-08,37.599894083409595
2002-02-09,28.99996941645787
2002-02-10,39.83605861392339
2002-02-11,35.66537766973429
2002-02-12,38.22756289115391
2002-02-13,36.53372281059727
2002-02-14,34.154794672083355
2002-02-15,34.73592211503212
2002-02-16,31.995809989232225
2002-02-17,36.6270150400317
2002-02-19,32.811555739610206
2002-02-20,34.27847590214087
2002-02-21,38.96840900276553
2002-02-22,29.023540933297227
2002-02-23,27.557135639331545
2002-02-24,29.05603438380814
2002-02-26,30.28301478101419
2002-02-28,31.267717473697864
2002-03-01,33.82861477441629
2002-03-02,32.51659802349876
2002-03-03,30.880380137300648
2002-03-05,26.22091127308921
2002-03-07,26.413308039040324
2002-03-08,32.96551608726252
2002-03-09,34.61733805257053
2002-03-11,27.70740163302044
2002-03-12,24.107139016655164
2002-03-14,27.863321982536483
2002-03-15,27.21349515835043
2002-03-16,28.079938997624616
2002-03-17,28.682009731198292
2002-03-18,26.780779063091938
2002-03-19,29.334491207261017
2002-03-29,28.055175983298323
2002-03-30,33.97648888204418
2002-03-31,30.51603257433699
2002-04-01,29.832110541631856
2002-04-02,28.376702845666514
2002-04-03,27.161896203248187
2002-04-04,29.572188520658067
2002-04-05,27.745500000000032
2002-04-06,29.789963335647833
2002-04-08,31.344242118010943
2002-04-09,28.46498925657401
2002-04-10,33.75033575619901
2002-04-11,31.971081629149037
2002-04-12,33.51077167571497
2002-04-13,29.956462492934985
2002-04-16,30.850658890732475
2002-04-17,26.176041666666695
2002-04-20,25.724391932835424
2002-04-22,26.58635580285318
2002-04-24,27.267345096237133
2002-04-25,23.566104306661014
2002-04-27,25.680184773577853
2002-05-01,25.31618546206072
2002-05-03,26.440362467412534
2002-05-04,23.033308538286448
2002-05-05,18.67761904761908
2002-05-06,23.65898309421707
2002-05-08,25.688569054474534
2002-05-12,25.861353150295102
2002-05-13,23.797188167864267
2002-05-14,23.86871121536966
2002-05-15,26.447184118230364
2002-05-16,21.856240855624506
2002-05-17,21.16430676681812
2002-05-19,25.09980537787882
2002-05-21,23.827460453071
2002-05-22,19.964601726471432
2002-05-23,25.00281946925866
2002-05-24,25.749046471555175
2002-05-26,24.63009567883212
2002-05-27,23.462743183615565
2002-05-28,24.848149114023723
2002-05-29,25.30904173877531
2002-05-30,22.352671814815274
2002-05-31,25.466093538795896
2002-06-01,22.411387512388558
2002-06-02,30.669964187765597
2002-06-03,26.17952282245772
2002-06-04,30.10460045603375
2002-06-05,23.60686798841581
2002-06-06,24.001380991147386
2002-06-07,23.935773114942588
2002-06-09,25.244925461573683
2002-06-11,22.268010630220225
2002-06-12,25.002588069516246
2002-06-13,22.375040613260254
2002-06-15,24.188734278071855
2002-06-16,24.225570708211066
2002-06-18,22.880779727481624
2002-06-20,24.55104117763756
2002-06-21,24.8436620515248
2002-06-22,25.52392974600155
2002-06-23,26.62033542058939
2002-06-25,24.72944648393902
2002-06-27,28.233405823584356
2002-06-29,25.17760930388392
2002-06-30,22.686799189625823
2002-07-01,21.97944573135932
2002-07-02,21.96742857142861
2002-07-04,26.35527518510319
2002-07-06,24.83252258218049
2002-07-07,25.30472686943059
2002-07-08,25.04499407603386
2002-07-09,25.54932805913635
2002-07-10,25.63427785948173
2002-07-11,26.43264505930929
2002-07-13,29.610144706814
2002-07-14,26.43388936234828
2002-07-15,26.089414770712448
2002-07-16,26.547888660766993
2002-07-18,29.250654986982397
2002-07-20,25.63059431272553
2002-07-21,21.40859419752675
2002-07-22,29.49844503206594
2002-07-23,31.40140319108058
2002-07-24,28.998167082907756
2002-07-25,25.051844309746
2002-07-26,26.784640124830954
2002-07-27,29.574062947965476
2002-07-29,29.697058823529435
2002-08-01,19.825769230769268
2002-08-02,24.019186591248257
2002-08-03,19.27857142857146
2002-08-05,27.404311668192403
2002-08-07,25.952307138474445
2002-08-08,26.669444444444473
2002-08-10,28.493297007297162
2002-08-12,28.53955024316239
2002-08-14,26.03527986640878
2002-08-15,29.262697893841477
2002-08-16,28.991617458279862
2002-08-17,27.2833308020883
2002-08-21,30.875410803722914
2002-08-24,31.506210904123737
2002-08-25,28.84915492957751
2002-08-26,32.43067322288961
2002-08-27,29.925603961884754
2002-08-28,32.87800670423976
2002-08-30,27.80471698113211
2002-08-31,27.93564596991903
2002-09-01,29.81479197385427
2002-09-03,29.321503694945353
2002-09-04,28.574997543229696
2002-09-05,33.84066568941515
2002-09-06,37.409427828328994
2002-09-08,33.088777898377195
2002-09-09,32.66452040762943
2002-09-10,37.032506706124174
2002-09-11,38.11758050581042
2002-09-12,32.02470351202603
