year,month,mean,min,max
2002,1,33.50585491917891,28.257325371057576,38.8007461443385
2002,2,35.150395800329754,29.12420654488219,39.837283649998454
2002,3,33.152841238360175,28.90067087133003,37.17382130595175
2002,4,31.982932781165385,28.4004900487473,35.33689939309106
2002,5,29.546380599977645,25.165094948300343,33.420574795561905
2002,6,29.76679848248606,25.302604971585318,33.93975502998239
2002,7,31.06502874912217,25.85386305613872,35.339656504378375
2002,8,31.337249150684325,26.968941155062076,35.51397895780675
2002,9,35.246455679931415,28.62416529816424,40.67966904850765
2002,10,36.0336286556238,29.621414967993992,41.55239544925299
2002,11,32.311989458298974,26.88344761626101,37.42039743656527
2002,12,31.57159000685097,26.362076309117384,36.350994977689126
2003,1,32.774927212926656,26.500205216337147,38.49241466037646
2003,2,35.71408589229521,29.543340276583265,40.55753526180744
2003,3,37.41137099181789,30.774759663998886,42.3367248429545
2003,4,34.24887314392321,29.196405541025634,39.11252783224358
2003,5,29.84352482904975,26.384873586550814,32.81864855762853
2003,6,28.852212730501957,24.903065682908604,32.297953990488644
2003,7,29.53547913121167,25.35762706766574,33.45352804795402
2003,8,31.90640321184322,26.7065917274118,36.40281543351311
2003,9,34.446397574915295,28.598919018975057,39.43177162988063
2003,10,37.34176704640454,30.839026243280117,42.67651768506986
2003,11,34.56918337150204,29.03447294867173,39.18738891000635
2003,12,34.619075891741176,28.667320043020915,39.07340793276371
2004,1,33.39099415164928,28.298738439734066,38.00778722577068
2004,2,34.387395741304246,29.116663545366578,39.172125850597055
2004,3,34.57995950138526,29.216729382415405,39.332735099595645
2004,4,30.96437596152082,27.191702463057023,34.60698321010087
2004,5,30.975127033001293,26.801456227038383,34.257100747566035
2004,6,30.065937557189322,25.363410227966796,33.95569802315355
2004,7,30.719260658578037,25.335628407597635,35.561419301266284
2004,8,32.36356312962375,27.137155880105,36.98351705192759
2004,9,35.68076284107507,29.31199690099187,42.09308345797193
2004,10,36.96284579404056,30.117490706993998,42.48301981115603
2004,11,33.589564035542,28.024518163027192,38.81864952954001
2004,12,32.23132034853572,26.46675294651266,37.32763510964739
2005,1,34.04184928548369,28.487592750357855,38.62343484005715
2005,2,36.80325048938851,29.7315016723143,42.2850653641208
2005,3,36.03685226766802,29.677662489553004,41.1688507832157
2005,4,33.598964820009805,27.86670671707357,39.6767367704268
2005,5,30.91174948898461,27.03974348467635,34.39233625998889
2005,6,29.990997432381842,26.08347665265832,33.522668847519974
2005,7,29.433971736069985,25.43942169886035,32.80594982945207
2005,8,32.65072928796895,27.150357043446327,37.675736072604494
2005,9,34.94253859246121,29.09836439107706,40.16908231791439
2005,10,37.25639327200315,30.559073008485374,42.6446800692877
2005,11,35.186769037286446,29.369730897097686,40.72103884581082
2005,12,36.8645289617758,30.270459978856827,41.59102887880239
2006,1,37.756093089050715,31.29482799672835,42.751391635482804
2006,2,38.986197563058035,32.69874864970953,44.32247096488659
2006,3,34.13723077102862,28.75158324100557,39.33025687286593
2006,4,30.86463663247077,26.86832942085178,35.07933326273584
2006,5,30.27923188241065,25.81522044851728,34.12217802320839
2006,6,29.684541951363844,25.251108028805444,33.492294122014535
2006,7,29.886289476428193,26.082994559518845,33.33552682356111
2006,8,32.43959183215452,27.15554183782747,36.94499954823001
2006,9,34.773503030837794,28.70592348305587,40.0956252598542
2006,10,36.12374281002609,29.95534436362536,41.65546057315681
2006,11,30.023332008530712,26.095787079832313,33.91402341065927
2006,12,28.07398835807113,24.399248672036897,31.382447159857858
2007,1,29.08061210898346,24.757218836843997,32.77707011746749
2007,2,32.706400533456275,26.965982342643922,37.80144932571187
2007,3,32.96096882195214,27.56816432447941,37.680226118738084
2007,4,32.79170176113509,27.87673852431707,37.43628651296944
2007,5,30.4320959874714,26.280418924972434,34.199809455544255
2007,6,29.375392726641355,25.34903288967075,32.83622757364881
2007,7,29.88150664645612,25.663319061580083,33.82945953834858
2007,8,31.659475992552228,26.55574979764791,36.22856490076086
2007,9,34.824029712964865,28.839315300848774,40.4614949259992
2007,10,35.45922378614354,28.919917056824364,41.03621762317451
2007,11,34.27915061898734,28.00055875668224,40.0708697279823
2007,12,32.86151390604937,26.93027808586103,38.15776131451763
2008,1,34.34011637657672,28.441856588271975,38.822490012225
2008,2,34.65404130924866,28.447625140858133,40.02476855096195
2008,3,33.85875315240571,28.35123730520039,39.10197160327546
2008,4,30.100891112646483,25.832624817523726,34.62280797872929
2008,5,30.74239675314159,26.39428921683146,34.4885007713024
2008,6,30.29374892017752,25.937511741212134,34.178138721543235
2008,7,30.164200496030833,26.03421794723199,33.98294033620337
2008,8,32.25833923958689,27.230783599453066,36.9676662683782
2008,9,35.60676676775803,29.51848817798008,40.81385540924082
2008,10,37.31692122306059,30.334524012677598,43.49915452501729
2008,11,33.006471414078774,27.57917875892959,38.2780194708394
2008,12,34.267819244494795,28.978799574109406,38.66070033168088
2009,1,36.28416980265038,30.175322780188445,41.23040428748457
2009,2,35.61391512181526,29.78023821558625,41.06301132132803
2009,3,37.933445700684544,31.084138346627938,43.199005411944185
2009,4,34.61441492434474,29.323140155276906,40.17566153181718
2009,5,32.59913354826377,28.043849696491623,36.60913874298595
2009,6,31.56472109676377,26.744621729566873,35.966550360321
2009,7,31.69710346363564,26.492466446028708,36.4230029594125
2009,8,33.32547499214761,28.264731938185733,38.3680813814493
2009,9,37.61555043277671,30.921437913377474,42.90755010064852
2009,10,38.097450336844766,31.704442016121185,43.35461903141179
2009,11,34.68232544665159,28.185271917345496,40.858648786615184
2009,12,32.52798055442649,26.900644398312593,37.36055705312118
2010,1,32.94974412976228,27.54723343750088,37.7349871162434
2010,2,35.4233459340617,29.94314011541998,40.09719084242309
2010,3,32.60125048227346,27.5438665189929,37.43318155770108
2010,4,30.079533454231605,26.14972451772096,33.837914277689634
2010,5,30.2153535161203,26.202174756731498,33.608351609951995
2010,6,29.546153641590465,25.894300319633693,32.95593755923289
2010,7,30.20778858587825,25.90369312784247,33.94545295781588
2010,8,32.38724164369215,27.7128564386885,36.377168386332976
2010,9,35.12382937885525,29.34596991280517,40.01244814570607
2010,10,37.47854822526407,31.07726841015454,42.907512534171076
2010,11,34.28070750940353,29.09480644727916,39.266056953413106
2010,12,34.14818507701125,28.152476339281062,39.319331028238786
2011,1,35.69338275966222,29.0619493982641,40.95842803101057
2011,2,37.52512141245297,30.58237761142896,43.134212185517406
2011,3,37.24193119185899,29.853651431495017,42.47580257778624
2011,4,33.05452748295525,28.371141188163364,37.460969073486375
2011,5,32.411967730506035,27.519662465172622,36.64610242821152
2011,6,31.356797760623486,27.03476609337284,35.236204354914314
2011,7,31.671176633972905,26.912162586936184,35.77310082260532
2011,8,32.62093079120984,28.198737565334667,36.38052467604185
2011,9,35.281543550733154,29.69106692142656,40.35770441558619
2011,10,35.06909063452271,28.88583309294301,41.21691332494627
2011,11,32.135268985248054,26.78600879960233,38.19355483057979
2011,12,30.611970385586638,25.884071275917005,35.06391979328468
2012,1,33.988512194078325,28.090247737769296,39.09686844237246
2012,2,36.6928101053836,30.700987111888608,41.46142955887637
2012,3,36.22751379701895,29.985411551924376,40.82852877361014
2012,4,33.02662868341974,29.088946883548164,37.073178458426064
2012,5,31.126424145305833,26.90772947279424,34.7136830943163
2012,6,28.9080362944598,25.573618732574825,31.858658175538828
2012,7,30.219733067652545,26.30584840216739,33.82508432057861
2012,8,32.02059563174316,26.772872164962813,36.97335026850436
2012,9,35.609046123688685,29.41247098851162,41.528254400799895
2012,10,37.5147854962793,30.881163218681067,43.223361601625456
2012,11,34.13786543088861,28.662418239350924,39.00350577287947
2012,12,32.235340441771605,27.074303412348698,37.08093356760945
2013,1,33.317798302552326,27.76036926209177,37.890957668853474
2013,2,35.88475309108288,29.92010399156643,40.68342054538632
2013,3,35.4552190138829,29.56306193750889,41.3684887384084
2013,4,30.056501679565283,27.26430281847051,32.579344435990635
2013,5,30.12163206361211,25.93005022163443,33.876613531203375
2013,6,28.855538140493316,25.320811250965058,31.997405752434496
2013,7,30.014185169311432,25.74258944968187,33.89602857018262
2013,8,32.28158065514616,27.367833781102643,36.54415251331392
2013,9,36.12038155523709,29.78387464766269,42.08155524864435
2013,10,37.71370835684582,30.87689440990444,43.48177561504213
2013,11,34.99147473573889,29.386498345405556,40.04458210216713
2013,12,32.02479619633631,27.275065134875877,36.550151859582414
2014,1,34.84326346551026,29.00501900366988,39.64097971566808
2014,2,35.1406304690927,29.78484753707234,40.37488081989406
2014,3,34.87211253565421,29.254293284912475,39.820783622154224
2014,4,31.333796390162064,26.62901924690722,36.021970906084015
2014,5,31.067459686496235,27.2545306052371,34.67727849477718
2014,6,30.554753134486013,26.356551389909185,34.60222395507542
2014,7,30.84421499816993,26.727140195569746,34.640431760080695
2014,8,33.40553718382299,27.61812955466665,38.78321143870381
2014,9,34.919125622858495,29.210524329875692,40.02659394372176
2014,10,37.07594454598579,30.39120004013491,42.79715925593112
2014,11,34.49179301245651,28.557762412648568,39.91800283087106
2014,12,32.55882424501418,27.414380973102272,37.09832782187434
2015,1,34.95707935743175,29.211127831522358,40.21758117676056
2015,2,37.78708335525938,31.207647839711576,43.05446653486173
2015,3,38.8706622237171,32.3052675593201,43.712073736651575
2015,4,32.23536047371968,27.941512055562225,36.50438537047522
2015,5,30.434860291731088,26.790102305638488,33.62853092638996
2015,6,30.083626597814376,25.794303803495147,33.74649632363811
2015,7,30.84697094046845,26.483938999811762,35.13544683504359
2015,8,33.01325769843967,27.267875632197402,38.099408688148785
2015,9,36.72116657201254,30.387425909819797,42.1807897182591
2015,10,37.6376257803869,31.478347920199635,42.86837792133322
2015,11,32.552978568157194,27.546735658802245,37.69113985791379
2015,12,31.115478433232685,25.858321979353352,36.22118612304976
2016,1,32.750745005248,27.85615512915557,37.2385774435937
2016,2,34.02586112855672,29.19750947958389,38.09874541114321
2016,3,37.09859791364183,30.56038359298516,41.96494263360001
2016,4,32.183998000518265,28.927405814631747,35.39382182037089
2016,5,30.625116313105682,26.66629121767159,34.14398928518748
2016,6,30.419060070575128,26.295950157315342,34.19955200325608
2016,7,31.077206577773882,26.673719421396534,34.793932782331616
2016,8,32.93787608480687,27.63563946174648,37.38390058001988
2016,9,35.391767149246775,28.754739353395895,40.20511898463288
2016,10,38.355319300128016,31.678917501329412,43.91412323535486
2016,11,36.125575727266536,30.695972100625422,41.18372241626995
2016,12,34.587355106981676,28.71295221955127,39.39843934494706
2017,1,37.65177448877985,31.66881649257271,41.9993387626942
2017,2,37.23935304795772,30.96185025454154,42.354336758456874
2017,3,37.10435291998382,30.681520852434932,42.7113663456756
2017,4,34.838616463253935,29.492666322639728,39.966410785072156
2017,5,31.68446170266833,27.406040018261027,35.68041039190853
2017,6,31.067866080817847,26.53610667355219,34.88213554079395
2017,7,31.613361070066723,27.02914010616823,35.8338243644068
2017,8,33.70874207240191,28.29558583871707,38.23377904530945
2017,9,36.24664977379331,29.932382752524408,41.71069528849681
2017,10,38.715428550765985,31.052369479343884,44.51192654309648
2017,11,33.151492011260004,28.255497861698625,37.93710558725773
2017,12,35.590210992880905,29.599408058741812,40.57706378884313
2018,1,34.95196780424941,29.330307436155543,39.73237901368424
2018,2,38.0764698817539,31.968557024017876,43.09188358638015
2018,3,32.04557274427662,28.183591996629016,36.06438153453148
