system:index,month,year,.geo
36,1.0,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,2.0,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,3.0,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,4.0,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,5.0,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,6.0,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,7.0,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,8.0,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,9.0,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,10.0,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,11.0,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,12.0,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,1.0,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,2.0,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,3.0,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,4.0,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,5.0,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,6.0,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,7.0,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,8.0,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,9.0,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,10.0,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,11.0,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,12.0,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,1.0,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,2.0,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,3.0,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,4.0,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,5.0,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,6.0,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,7.0,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,8.0,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,9.0,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,10.0,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,11.0,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,12.0,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,1.0,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,2.0,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,3.0,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,4.0,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,5.0,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,6.0,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,7.0,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,8.0,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,9.0,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,10.0,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
82,11.0,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
83,12.0,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,1.0,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,2.0,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
86,3.0,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
87,4.0,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
88,5.0,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
89,6.0,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
90,7.0,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
91,8.0,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
92,9.0,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
93,10.0,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
94,11.0,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
95,12.0,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
96,1.0,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
97,2.0,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
98,3.0,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
99,4.0,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
100,5.0,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
101,6.0,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
102,7.0,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
103,8.0,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
104,9.0,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
105,10.0,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
106,11.0,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
107,12.0,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
108,1.0,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
109,2.0,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
110,3.0,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
111,4.0,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
112,5.0,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
113,6.0,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
114,7.0,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
115,8.0,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
116,9.0,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
117,10.0,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
118,11.0,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
119,12.0,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
120,1.0,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
121,2.0,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
122,3.0,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
123,4.0,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
124,5.0,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
125,6.0,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
126,7.0,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
127,8.0,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
128,9.0,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
129,10.0,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
130,11.0,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
131,12.0,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
132,1.0,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
133,2.0,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
134,3.0,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
135,4.0,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
136,5.0,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
137,6.0,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
138,7.0,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
